Archetype,CommName,SciName,SpeciesCat,SpeciesCatName,Year,Catch,Price,region_name,IdOrig
Hard bottom,Grouper (Lapu-lapu),Epinephelus spp,33,Misc. coastal fishes,2002.0,1390.0,1198.007448199836,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)_Grouper (Lapu-lapu)
Hard bottom,Grouper (Lapu-lapu),Epinephelus spp,33,Misc. coastal fishes,2003.0,1226.0,1235.984013730629,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)_Grouper (Lapu-lapu)
Hard bottom,Grouper (Lapu-lapu),Epinephelus spp,33,Misc. coastal fishes,2004.0,1302.74,1365.9935506943618,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)_Grouper (Lapu-lapu)
Hard bottom,Grouper (Lapu-lapu),Epinephelus spp,33,Misc. coastal fishes,2005.0,1572.73,1409.704628043882,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)_Grouper (Lapu-lapu)
Hard bottom,Grouper (Lapu-lapu),Epinephelus spp,33,Misc. coastal fishes,2006.0,1569.09,1301.2045275077382,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)_Grouper (Lapu-lapu)
Hard bottom,Grouper (Lapu-lapu),Epinephelus spp,33,Misc. coastal fishes,2007.0,1699.22,1437.1336188266891,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)_Grouper (Lapu-lapu)
Hard bottom,Grouper (Lapu-lapu),Epinephelus spp,33,Misc. coastal fishes,2008.0,1729.73,1779.1153759551983,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)_Grouper (Lapu-lapu)
Hard bottom,Grouper (Lapu-lapu),Epinephelus spp,33,Misc. coastal fishes,2009.0,1443.41,1894.826495584314,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)_Grouper (Lapu-lapu)
Hard bottom,Grouper (Lapu-lapu),Epinephelus spp,33,Misc. coastal fishes,2010.0,1745.46,2251.1370610194836,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)_Grouper (Lapu-lapu)
Hard bottom,Grouper (Lapu-lapu),Epinephelus spp,33,Misc. coastal fishes,2011.0,1763.5,2320.1447522545764,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)_Grouper (Lapu-lapu)
Hard bottom,Grouper (Lapu-lapu),Epinephelus spp,33,Misc. coastal fishes,2012.0,1725.07,2479.526548085851,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)_Grouper (Lapu-lapu)
Hard bottom,Grouper (Lapu-lapu),Epinephelus spp,33,Misc. coastal fishes,2013.0,2272.0099999999998,2586.68627966826,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)_Grouper (Lapu-lapu)
Hard bottom,Grouper (Lapu-lapu),Epinephelus spp,33,Misc. coastal fishes,2014.0,2385.43,2455.3047444297113,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)_Grouper (Lapu-lapu)
Soft bottom,Hairtail (Espada),Trichiurus spp,34,Misc. demersal fishes,2002.0,46.0,623.4601298449616,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)_Hairtail (Espada)
Soft bottom,Hairtail (Espada),Trichiurus spp,34,Misc. demersal fishes,2003.0,72.0,522.313205984375,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)_Hairtail (Espada)
Soft bottom,Hairtail (Espada),Trichiurus spp,34,Misc. demersal fishes,2004.0,95.12,567.345072437236,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)_Hairtail (Espada)
Soft bottom,Hairtail (Espada),Trichiurus spp,34,Misc. demersal fishes,2005.0,307.27,505.3169049868345,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)_Hairtail (Espada)
Soft bottom,Hairtail (Espada),Trichiurus spp,34,Misc. demersal fishes,2006.0,657.76,657.7738013150365,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)_Hairtail (Espada)
Soft bottom,Hairtail (Espada),Trichiurus spp,34,Misc. demersal fishes,2007.0,631.63,625.5221512351567,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)_Hairtail (Espada)
Soft bottom,Hairtail (Espada),Trichiurus spp,34,Misc. demersal fishes,2008.0,492.37,791.8659248217775,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)_Hairtail (Espada)
Soft bottom,Hairtail (Espada),Trichiurus spp,34,Misc. demersal fishes,2009.0,308.15,845.4146619232038,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)_Hairtail (Espada)
Soft bottom,Hairtail (Espada),Trichiurus spp,34,Misc. demersal fishes,2010.0,310.95,894.5859704514286,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)_Hairtail (Espada)
Soft bottom,Hairtail (Espada),Trichiurus spp,34,Misc. demersal fishes,2011.0,280.84000000000003,964.122627709004,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)_Hairtail (Espada)
Soft bottom,Hairtail (Espada),Trichiurus spp,34,Misc. demersal fishes,2012.0,226.07,1056.21488658497,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)_Hairtail (Espada)
Soft bottom,Hairtail (Espada),Trichiurus spp,34,Misc. demersal fishes,2013.0,222.85,1109.5473922786628,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)_Hairtail (Espada)
Soft bottom,Hairtail (Espada),Trichiurus spp,34,Misc. demersal fishes,2014.0,214.69,1088.867669465676,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)_Hairtail (Espada)
Soft bottom,Mullet (Kapak),Mugilidae,33,Misc. coastal fishes,2002.0,1827.0,606.6904329340467,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)_Mullet (Kapak)
Soft bottom,Mullet (Kapak),Mugilidae,33,Misc. coastal fishes,2003.0,1856.0,602.3412582293422,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)_Mullet (Kapak)
Soft bottom,Mullet (Kapak),Mugilidae,33,Misc. coastal fishes,2004.0,1673.53,644.0075451509351,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)_Mullet (Kapak)
Soft bottom,Mullet (Kapak),Mugilidae,33,Misc. coastal fishes,2005.0,1742.08,630.3388434276316,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)_Mullet (Kapak)
Soft bottom,Mullet (Kapak),Mugilidae,33,Misc. coastal fishes,2006.0,1915.04,789.925188587052,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)_Mullet (Kapak)
Soft bottom,Mullet (Kapak),Mugilidae,33,Misc. coastal fishes,2007.0,1775.8600000000001,893.9886854260118,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)_Mullet (Kapak)
Soft bottom,Mullet (Kapak),Mugilidae,33,Misc. coastal fishes,2008.0,2047.1000000000001,1018.475096699572,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)_Mullet (Kapak)
Soft bottom,Mullet (Kapak),Mugilidae,33,Misc. coastal fishes,2009.0,1751.57,997.2110437803458,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)_Mullet (Kapak)
Soft bottom,Mullet (Kapak),Mugilidae,33,Misc. coastal fishes,2010.0,1825.25,1083.777683253882,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)_Mullet (Kapak)
